gap_mm,frac,P_min_W_per_m,t999
6,0.7,213.99897216796876,169.9999999999989
7,0.7,408.0669824218751,169.9999999999989
8,0.7,594.9129062500003,169.9999999999989
9,0.7,771.8767500000002,169.9999999999989
10,0.7,953.0301200000006,169.9999999999989
11,0.7,1161.1922250000002,169.9999999999989
12,0.7,1622.3100400000003,169.9999999999989
13,0.7,2285.211532800001,169.9999999999989
14,0.7,3390.9958272000013,169.9999999999989
